at-bat,batting team,batter,pitching team,pitcher,attempt,rbi,single,double,triple,quadruple,home run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,CGB,94,NBQ,24,1,,,,,,,,,,,,,,,,,,,1,,,24,,,,,
1,NBQ,121,CGB,29,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,NBQ,126,CGB,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
3,CGB,145,NBQ,24,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
4,CGB,146,NBQ,24,1,,1,,,,,,,,,,,,,,,,,,,1,24,,,,,
5,NBQ,125,CGB,29,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
6,NBQ,122,CGB,29,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
7,CGB,29,NBQ,24,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
8,CGB,96,NBQ,24,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
9,CGB,83,NBQ,24,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
10,CGB,117,NBQ,24,1,1,,1,,,,,,,,,,,1,1,,,,,,1,127,24,,,,
11,CGB,29,NBQ,24,1,2,,1,,,,,,1,,,,,,,,,,,,,,,,,,
12,NBQ,147,CGB,29,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
13,NBQ,24,CGB,29,1,,,,,,,,,,,,,,,,,,,1,,,83,,,,,
14,CGB,145,NBQ,24,1,,,,,,,,,,,,,,,,,,,1,,,127,,,,,
15,NBQ,127,CGB,29,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,
16,NBQ,136,CGB,29,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
17,NBQ,130,CGB,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
18,CGB,146,NBQ,24,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
19,CGB,117,NBQ,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
20,NBQ,131,CGB,29,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
21,NBQ,136,CGB,29,1,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,
22,NBQ,121,CGB,29,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
23,NBQ,122,CGB,29,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,
24,NBQ,24,CGB,29,1,,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,
25,NBQ,127,CGB,29,1,2,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
26,NBQ,131,CGB,29,1,,,1,,,,,,,1,,,,1,,1,,,,,,,,,,,
27,NBQ,130,CGB,29,1,1,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,
28,NBQ,126,CGB,29,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,
29,NBQ,24,CGB,29,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
