at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,5-2024,121,8-2024,55,1,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,
1,5-2024,126,8-2024,55,,,,,,,,1,1,1,1,,,,,,1,,,,,,,,,,,
2,5-2024,24,8-2024,55,,,,,,,,1,,1,1,,,1,,,1,,,,,,,,,,,
3,5-2024,130,8-2024,55,,1,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,
4,5-2024,127,8-2024,55,1,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
5,5-2024,131,8-2024,55,1,2,,1,,,,,,,,,,,,1,,,,,1,,53,,,,,
6,5-2024,169,8-2024,55,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
7,8-2024,141,5-2024,127,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
8,8-2024,53,5-2024,127,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
9,8-2024,75,5-2024,127,1,2,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
10,8-2024,130,5-2024,127,1,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
11,8-2024,181,5-2024,127,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
12,8-2024,55,5-2024,127,1,,,,,,,,,,,,,,,,,,,1,,,170,,,,,
13,5-2024,170,8-2024,55,1,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,
14,5-2024,129,8-2024,55,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
15,5-2024,125,8-2024,55,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
16,8-2024,171,5-2024,127,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
17,8-2024,143,5-2024,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
18,5-2024,121,8-2024,55,,,,,,,,,,1,,1,1,1,,1,,,,,,,,,,,,
19,5-2024,126,8-2024,55,,,,,,,,1,1,,,1,,,1,1,,,,,,,,,,,,
20,5-2024,24,8-2024,55,1,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,
21,5-2024,131,8-2024,55,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
22,5-2024,130,8-2024,55,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
23,5-2024,170,8-2024,140,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
24,8-2024,106,5-2024,127,,,,,,,,1,1,,,,,,1,1,,,,,,1,127,,,,,
25,8-2024,141,5-2024,127,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
26,8-2024,75,5-2024,127,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
