league_id,club_id,season,team_acr,team_name
0,0,2014,LVG,Louisville Grays
0,1,2014,NYM,New York Mutuals
0,2,2014,BRC,Boston Red Caps
0,0,2015,LVG,Louisville Grays
0,1,2015,NYM,New York Mutuals
0,2,2015,BRC,Boston Red Caps
0,0,2016,LVG,Louisville Grays
0,1,2016,NYM,New York Mutuals
0,2,2016,BRC,Boston Red Caps
0,0,2017,LVG,Louisville Grays
0,1,2017,NYM,New York Mutuals
0,2,2017,BRC,Boston Red Caps
0,0,2018,LVG,Louisville Grays
0,1,2018,NYM,New York Mutuals
0,2,2018,BRC,Boston Red Caps
1,3,2022,BGB,Bay Area Golden Bears
1,4,2022,FNY,Fresno New York Mutuals
1,5,2022,NBQ,Newberg Quakers
1,6,2022,FSD,Fresno Sun Dogs
1,7,2022,FHM,Fresno Haymakers
1,8,2022,MAD,Madera Coyotes
1,3,2023,BGB,Bay Area Golden Bears
1,4,2023,FRE,Fresno Eagles
1,5,2023,NBQ,Newberg Quakers
1,8,2023,MAD,Madera Coyotes
1,3,2024,BGB,Bay Area Golden Bears
1,4,2024,FRE,Fresno Eagles
1,5,2024,NBQ,Newberg Quakers
1,8,2024,MAD,Madera Coyotes
